genre,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,valence,tempo
country,4,1,4,0.609,0.744,0.505,0,0.247,-5.943,0.294,122.015
country,5,1,4,0.127,0.44,0.803,0,0.128,-6.162,0.633,79.312
country,6,0,4,0.271,0.519,0.749,0,0.119,-3.318,0.29,147.905
country,11,1,4,0.307,0.499,0.643,0,0.106,-5.416,0.469,93.805
country,2,1,4,0.0293,0.645,0.904,0,0.0834,-4.532,0.671,105.97
country,9,1,4,0.0814,0.65,0.637,0.000607,0.51,-6.195,0.575,140.115
country,9,1,4,0.0119,0.638,0.722,0.00808,0.189,-6.177,0.469,103.017
country,11,1,4,0.119,0.555,0.722,0,0.0861,-6.005,0.559,134.058
country,1,1,4,0.208,0.646,0.781,0,0.125,-4.616,0.565,94.975
country,10,1,4,0.386,0.607,0.536,0,0.102,-7.306,0.434,147.986
country,7,1,4,0.101,0.632,0.804,0,0.17,-6.109,0.35,92.456
country,10,1,4,0.0191,0.457,0.948,0,0.0536,-3.364,0.878,148
country,3,1,4,0.88,0.581,0.197,0,0.107,-7.697,0.349,130.367
country,9,1,4,0.106,0.553,0.747,0,0.154,-5.432,0.521,90.012
country,7,1,4,0.301,0.523,0.837,0,0.172,-4.494,0.523,82.006
country,8,1,4,0.113,0.747,0.861,0,0.026,-5.251,0.859,103.966
country,11,1,4,0.111,0.683,0.796,0,0.197,-4.179,0.531,90.031
country,4,1,4,0.23,0.689,0.689,0,0.57,-5.517,0.664,130.069
country,7,1,4,0.75,0.536,0.574,0.00277,0.105,-6.705,0.877,87.194
country,9,1,4,0.0183,0.455,0.897,0,0.174,-4.879,0.728,160.139
country,5,1,4,0.0805,0.669,0.559,0,0.0703,-5.003,0.491,95.001
country,4,1,4,0.75,0.629,0.464,0,0.0853,-8.72,0.523,156.051
country,9,1,4,0.107,0.426,0.829,0,0.317,-2.84,0.814,180.241
country,11,1,4,0.0292,0.474,0.594,0,0.133,-5.756,0.503,86.131
country,1,1,4,0.0578,0.907,0.53,2.23E-06,0.101,-6.112,0.507,135.998
disco,9,1,4,0.165,0.694,0.831,0.000892,0.25,-7.288,0.98,125.901
disco,0,1,4,0.0131,0.777,0.725,0.00805,0.246,-8.681,0.529,116.67
disco,10,0,4,0.0322,0.703,0.826,0.00629,0.179,-7.179,0.945,103.564
disco,11,0,4,0.121,0.869,0.648,2.17E-05,0.126,-8.698,0.9,125.035
disco,7,1,4,0.205,0.879,0.626,6.07E-05,0.056,-6.344,0.968,110.864
disco,0,0,4,0.227,0.692,0.711,0,0.12,-7.498,0.875,125.135
disco,10,0,4,0.112,0.589,0.384,2.80E-05,0.0596,-15.075,0.354,132.909
disco,5,0,4,0.105,0.633,0.357,0,0.133,-9.366,0.674,104.938
disco,10,1,4,0.299,0.63,0.711,0,0.0813,-9.34,0.659,96.912
disco,7,0,4,0.3,0.784,0.893,1.57E-05,0.272,-5.153,0.819,118.738
disco,2,1,4,0.0422,0.598,0.673,6.84E-05,0.289,-10.431,0.59,102.035
disco,11,1,4,0.0893,0.636,0.72,0.0178,0.0868,-6.195,0.425,124.944
disco,6,1,4,0.0278,0.75,0.785,0,0.0601,-10.926,0.752,126.361
disco,9,0,4,0.22,0.838,0.794,0,0.0575,-8.245,0.962,132.446
disco,9,1,4,0.0435,0.814,0.672,0,0.061,-12.068,0.933,109.394
disco,11,0,4,0.112,0.612,0.84,0,0.116,-3.145,0.438,129.042
disco,2,0,4,0.0843,0.802,0.756,0.00765,0.0521,-10.791,0.963,131.715
disco,1,1,4,0.122,0.739,0.576,0.00206,0.0482,-12.024,0.78,108.81
disco,0,1,4,0.186,0.744,0.568,1.18E-05,0.163,-9.629,0.687,122.657
disco,7,1,4,0.163,0.632,0.683,0.00013,0.847,-6.434,0.701,105.955
disco,9,1,4,0.0515,0.743,0.5,0,0.0373,-14.105,0.903,112.989
disco,11,0,4,0.256,0.537,0.82,1.93E-06,0.432,-7.011,0.881,94.434
disco,5,1,4,0.185,0.72,0.828,0.433,0.0839,-9.211,0.768,110.07
